Category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Contribution_2024
Agriculture - Agriculture,15952220.14,16607337.33,17179495.29,17544147.74,17958583.71,18348175.94,18738414.42,19091072.82,19306490.28,19535878.83,24.638704099585013
Manufacturing - Oil & Gas,6732507.57,5759816.75,6031717.6,6092477.1,6362630.77,5819391.23,5366193.41,4391424.72,4266504.99,4473237.41,5.641659321869579
Manufacturing,6586618.63,6302232.45,6288896.8,6420590.28,6469831.88,6291592.13,6502257.6,6661391.84,6754959.28,6848461.32,8.637298248482912
Power,272431.53,231569.73,269620.92,289292.3,275231.59,267245.91,340923.42,333391.7,351936.63,353922.2,0.44636765184492844
"Water Supply, Waste Mgmt. & Remediation",94883.16,103675.42,107991.01,115780.1,122112.04,126769.71,150013.06,170449.89,192004.93,208142.37,0.26250972938780975
Construction,2680216.0,2520852.18,2545991.32,2605287.77,2652540.16,2448716.21,2524386.15,2638925.05,2733059.98,2764341.57,3.48639518938971
Services - Trade,11697587.66,11669061.39,11546445.65,11473791.0,11430547.07,10459701.18,11360895.61,11943701.02,12141373.92,12256261.0,15.457630075108526
Accommodation & Food Services,654215.32,619419.23,609465.66,620190.65,637858.77,524627.4,522280.67,544307.99,563157.92,582962.67,0.7352341224177232
Transportation & Storage,805455.72,808597.29,839846.73,956641.32,1059271.39,823465.04,957297.43,1102814.92,770117.33,820384.38,1.0346710359250069
Information and Communication,7708113.85,7858698.29,7776896.97,8527659.33,9309924.85,10537144.83,11227068.75,12323041.87,13297990.32,14018169.84,17.679754348961993
"Arts, Entertainment & Recreation",141329.25,146579.96,152629.9,156484.02,162935.03,158041.02,160767.06,167664.1,174833.4,181358.28,0.22872956142970133
Financial and Insurance,2123896.8,2027512.3,2053001.84,2094676.55,2148388.53,2349683.53,2586283.74,3009349.52,3807819.55,4933796.18,6.222517309024632
Real Estate,5264695.89,4903604.64,4694391.27,4471861.75,4366350.6,3963589.18,4053083.2,4213070.41,4283647.4,4317427.68,5.445151661952533
"Professional, Scientific and Technical Services",2516073.97,2536292.03,2529675.19,2544135.68,2547296.25,2345583.68,2346816.82,2400315.1,2458543.31,2491686.07,3.1425213230495794
ï¿½Administrative & Support Services,14473.97,14374.75,14466.5,14440.88,14723.69,14318.78,14686.08,15150.11,15244.52,15402.97,0.019426268118637024
Public Administration,1644782.78,1569517.75,1563619.55,1531581.82,1470220.39,1471655.75,1467225.18,1495125.56,1526808.57,1560189.91,1.9677158046566456
Education,1498707.08,1518933.09,1507982.79,1507561.07,1519660.44,1313388.73,1303548.36,1321112.82,1338402.61,1364894.93,1.7214092388642137
Human Health and Social Services,484336.5,475690.0,474237.26,472701.6,474174.77,484736.89,508633.28,529994.8,544755.07,560339.69,0.7067019578337134
Other Services,2151384.05,2257471.35,2310545.71,2360640.98,2405544.75,2266544.71,2262899.21,2287164.72,2157290.77,2002535.32,2.525603052097134
